ano,turno,sigla_partido,resultado,cargo,sigla_uf,genero,raca,id_candidato_bd,nome_urna,nome
2018,1,REDE,eleito por media,deputado federal,RR,feminino,indigena,932,Joenia Wapichana,Joenia Batista De Carvalho
2018,1,PSL,eleito por qp,deputado federal,SP,feminino,branca,1783,Carla Zambelli,Carla Zambelli Salgado
2018,1,DEM,eleito por qp,deputado federal,BA,masculino,branca,6364,Arthur Maia,Arthur De Oliveira Maia Da Silva
2018,1,PC do B,eleito por media,deputado federal,AP,feminino,parda,9893,Professora Marcivania,Marcivania Do Socorro Da Rocha Flexa
2018,1,PL,eleito por qp,deputado federal,PA,masculino,branca,16592,Cristiano Vale,Cristiano Dutra Vale
2018,1,SOLIDARIEDADE,eleito por media,deputado federal,PE,masculino,branca,17831,Augusto Coutinho,Augusto Rodrigues Coutinho De Melo
2018,1,PL,eleito por qp,deputado federal,AL,masculino,branca,18850,Sérgio Toledo,Sérgio Toledo De Albuquerque
2018,1,MDB,eleito por media,deputado federal,AC,masculino,branca,19795,Flaviano Melo,Flaviano Flavio Baptista De Melo
2018,1,PSD,eleito por media,deputado federal,PR,masculino,branca,20525,Vermelho,Nelsi Coguetto Maria
2018,1,PT,eleito por qp,deputado federal,RS,masculino,branca,22921,Henrique Fontana,Henrique Fontana Júnior
2018,1,MDB,eleito por qp,deputado federal,PR,masculino,branca,24732,Hermes Frangão Parcianello,Hermes Parcianello
2018,1,PODE,eleito por qp,deputado federal,MG,masculino,parda,27216,Igor Timo,Igor Tarciano Timo
2018,1,PSD,eleito por media,deputado federal,BA,masculino,parda,33535,Charles Fernandes,Charles Fernandes Silveira Santana
2018,1,PSD,eleito por qp,deputado federal,RJ,feminino,branca,34757,Flordelis,Flordelis Dos Santos De Souza
2018,1,PSD,eleito por qp,deputado federal,PE,masculino,branca,37386,Andre De Paula,Andre Carlos Alves De Paula Filho
2018,1,NOVO,eleito por qp,deputado federal,SP,masculino,branca,50298,Vinicius Poit,Vinicius Lazzer Poit
2018,1,PSOL,eleito por qp,deputado federal,MG,feminino,parda,51949,Aurea Carolina,Áurea Carolina De Freitas E Silva
2018,1,PSB,eleito por qp,deputado federal,RJ,masculino,branca,54322,Alessandro Molon,Alessandro Lucciola Molon
2018,1,PP,eleito por qp,deputado federal,RO,feminino,branca,56348,Jaqueline Cassol,Dirlaine Jaqueline Cassol
2018,1,PV,eleito por qp,deputado federal,CE,masculino,parda,56832,Celio Studart,Celio Studart Barbosa
2018,1,PSB,eleito por media,deputado federal,PE,masculino,branca,59313,Tadeu Alencar,Francisco Tadeu Barbosa De Alencar
2018,1,PL,eleito por media,deputado federal,CE,masculino,branca,68124,Dr.Jaziel,Jaziel Pereira De Sousa
2018,1,REPUBLICANOS,eleito por media,deputado federal,AC,masculino,parda,74077,Pastor Manuel Marcos,Manuel Marcos Carvalho De Mesquita
2018,1,PSB,eleito por qp,deputado federal,MG,masculino,branca,74927,Vilson Da Fetaemg,Vilson Luiz Da Silva
2018,1,PSL,eleito por media,deputado federal,RS,masculino,branca,76817,Nereu Crispin,Nereu Crispim
2018,1,PT,eleito por qp,deputado federal,RJ,feminino,preta,77653,Benedita Da Silva ,Benedita Souza Da Silva Sampaio 
2018,1,PHS,eleito por qp,deputado federal,BA,masculino,preta,83543,Pastor Abilio Santana,Jose Abilio Silva De Santana
2018,1,PSD,eleito por qp,deputado federal,MG,masculino,branca,87857,Stefano Aguiar,Stefano Aguiar Dos Santos
2018,1,PP,eleito por qp,deputado federal,RS,masculino,branca,91419,Afonso Hamm,José Alfonso Ebert Hamm
2018,1,PP,eleito por qp,deputado federal,PI,feminino,branca,95944,Iracema Portella,Iracema Maria Portella Nunes Nogueira Lima
2018,1,PSOL,eleito por qp,deputado federal,SP,masculino,branca,101933,Ivan Valente,Ivan Valente
2018,1,PDT,eleito por qp,deputado federal,CE,masculino,parda,104327,Robério Monteiro,Marcos Roberio Ribeiro Monteiro
2018,1,REPUBLICANOS,eleito por qp,deputado federal,MG,masculino,branca,109679,Lafayette Andrada,Lafayette Luiz Doorgal De Andrada
2018,1,PDT,eleito por qp,deputado federal,CE,masculino,branca,110736,Idilvan,Antonio Idilvan De Lima Alencar
2018,1,PT,eleito por qp,deputado federal,CE,feminino,branca,111406,Luizianne,Luizianne De Oliveira Lins
2018,1,PT,eleito por qp,deputado federal,BA,masculino,branca,112128,Zé Neto,José Cerqueira De Santana Neto
2018,1,PRP,eleito por media,deputado federal,DF,feminino,branca,117641,Bia Kicis,Beatriz Kicis Torrents De Sordi
2018,1,PDT,eleito por qp,deputado federal,SP,feminino,branca,122437,Tabata Amaral,Tabata Claudia Amaral De Pontes
2018,1,PSB,eleito por media,deputado federal,AP,masculino,parda,122922,Camilo Capiberibe,Carlos Camilo Goes Capiberibe
2018,1,PSOL,eleito por qp,deputado federal,SP,feminino,branca,127823,Sâmia Bomfim,Samia De Souza Bomfim
2018,1,DEM,eleito por qp,deputado federal,SP,masculino,amarela,130269,Kim Kataguiri,Kim Patroca Kataguiri
2018,1,REPUBLICANOS,eleito por media,deputado federal,PE,masculino,preta,138979,Bispo Ossesio,Ossesio Jose Da Silva
2018,1,PT,eleito por qp,deputado federal,PA,masculino,parda,142882,Beto Faro,Jose Roberto Oliveira Faro
2018,1,PTC,eleito por qp,deputado federal,RN,masculino,branca,152588,Benes Leocadio,Luiz Benes Leocadio De Araujo
2018,1,PSB,eleito por qp,deputado federal,MA,masculino,preta,156428,Bira Do Pindaré,Ubirajara Do Pindaré Almeida Sousa
2018,1,DC,eleito por qp,deputado federal,RJ,masculino,branca,159026,Luiz Antônio,Luiz Antonio Da Costa Carvalho Correa Da Silva
2018,1,PSDB,eleito por qp,deputado federal,AC,feminino,branca,160811,Mara Rocha,Cylmara Fernandes Da Rocha Gripp
2018,1,PP,eleito por media,deputado federal,MT,masculino,branca,160895,Neri Geller,Neri Geller
2018,1,PDT,eleito por media,deputado federal,SE,masculino,branca,163367,Fábio Henrique,Fabio Henrique Santana De Carvalho
2018,1,PSD,eleito por qp,deputado federal,RJ,masculino,branca,164041,Hugo Leal,Hugo Leal Melo Da Silva
2018,1,PDT,eleito por qp,deputado federal,MG,masculino,branca,171672,Subtenente Gonzaga,Luiz Gonzaga Ribeiro
2018,1,DEM,eleito por qp,deputado federal,GO,masculino,branca,171855,Zé Mario,Jose Mario Schreiner
2018,1,PT,eleito por qp,deputado federal,PI,feminino,branca,175298,Rejane Dias,Rejane Ribeiro Sousa Dias
2018,1,PHS,eleito por qp,deputado federal,MG,masculino,branca,175660,Franco Cartafina,Franco Cartafina Gomes
2018,1,PSB,eleito por qp,deputado federal,GO,masculino,branca,178317,Elias Vaz,Elias Vaz De Andrade
2018,1,PSL,eleito por qp,deputado federal,RJ,masculino,parda,178662,Lourival Gomes,Lourival Gomes De Almeida
2018,1,PODE,eleito por qp,deputado federal,MT,masculino,branca,180875,Jose Medeiros,Jose Antonio Dos Santos Medeiros
2018,1,PP,eleito por qp,deputado federal,PR,masculino,branca,181465,Ricardo Barros,Ricardo Jose Magalhães Barros
2018,1,PT,eleito por qp,deputado federal,RS,masculino,branca,187267,Paulo Pimenta,Paulo Roberto Severo Pimenta
2018,1,AVANTE,eleito por qp,deputado federal,AP,feminino,parda,189976,Leda Sadala,Leda Maria Sadala Brito
2018,1,DEM,eleito por media,deputado federal,TO,feminino,branca,192705,Professora Dorinha,Maria Auxiliadora Seabra Rezende
2018,1,PV,eleito por qp,deputado federal,SP,masculino,branca,193883,Enrico Misasi,Enrico Van Blarcum De Graaff Misasi
2018,1,SOLIDARIEDADE,eleito por qp,deputado federal,MG,masculino,branca,196259,Zé Silva,José Silva Soares
2018,1,PC do B,eleito por qp,deputado federal,RJ,feminino,branca,196329,Jandira Feghali,Jandira Feghali
2018,1,PT,eleito por qp,deputado federal,RS,masculino,branca,196434,Marcon,Dionilso Mateus Marcon
2018,1,PL,eleito por media,deputado federal,AM,masculino,parda,199590,Marcelo Ramos,Marcelo Ramos Rodrigues
2018,1,DEM,eleito por qp,deputado federal,AC,masculino,branca,216496,Alan Rick,Alan Rick Miranda
2018,1,PSD,eleito por qp,deputado federal,SC,masculino,branca,217933,Darci De Matos,Darci De Matos
2018,1,PL,eleito por qp,deputado federal,SP,masculino,parda,218001,Tiririca,Francisco Everardo Oliveira Silva
2018,1,PSL,eleito por qp,deputado federal,RN,masculino,branca,226112,General Girao,Elieser Girao Monteiro Filho
2018,1,PTB,eleito por qp,deputado federal,PA,masculino,branca,227819,Paulo Bengtson,Paulo Eduardo Maestri Bengtson
2018,1,PSB,eleito por qp,deputado federal,RS,masculino,branca,228816,Heitor Schuch,Heitor José Schuch
2018,1,DEM,eleito por qp,deputado federal,MG,masculino,branca,230011,Bilac Pinto,Olavo Bilac Pinto Neto
2018,1,SOLIDARIEDADE,eleito por qp,deputado federal,TO,masculino,branca,231162,Tiago Dimas,Tiago Braga Pereira
2018,1,MDB,eleito por qp,deputado federal,MG,masculino,parda,234665,Hercílio Coelho Diniz,Hercílio Araújo Diniz Filho
2018,1,MDB,eleito por qp,deputado federal,PE,masculino,branca,234789,Raul Henry,Raul Jean Louis Henry Junior
2018,1,PSL,eleito por qp,deputado federal,GO,masculino,parda,240053,Delegado Waldir,Waldir Soares De Oliveira
2018,1,PT,eleito por qp,deputado federal,MG,masculino,branca,253073,Rogério Correia,Rogerio Correia De Moura Baptista
2018,1,PDT,eleito por qp,deputado federal,RJ,masculino,branca,255352,Chico D Angelo,Francisco Jose D Angelo Pinto
2018,1,PODE,eleito por qp,deputado federal,PE,masculino,parda,256572,Ricardo Teobaldo,Ricardo Teobaldo Cavalcanti
2018,1,PSD,eleito por qp,deputado federal,GO,masculino,branca,260718,Francisco Jr,Francisco Rodrigues Vale Junior
2018,1,MDB,eleito por qp,deputado federal,CE,masculino,branca,262778,Moses Rodrigues,Moses Haendel Melo Rodrigues
2018,1,PT,eleito por qp,deputado federal,SC,masculino,branca,262780,Professor Pedro Uczai,Pedro Francisco Uczai
2018,1,MDB,eleito por media,deputado federal,MT,masculino,parda,264524,Juarez Costa,Juarez Alves Da Costa
2018,1,PSB,eleito por media,deputado federal,ES,masculino,branca,265499,Foletto,Paulo Roberto Foletto
2018,1,PL,eleito por qp,deputado federal,PI,masculino,parda,268693,Capitão Fábio Abreu,Fábio Abreu Costa
2018,1,REPUBLICANOS,eleito por qp,deputado federal,MA,masculino,branca,271810,Cleber Verde,Cleber Verde Cordeiro Mendes
2018,1,PSDB,eleito por qp,deputado federal,SP,masculino,branca,276590,Vitor Lippi,Vitor Lippi
2018,1,PT,eleito por media,deputado federal,RS,feminino,branca,281007,Maria Do Rosário,Maria Do Rosário Nunes
2018,1,PSDB,eleito por qp,deputado federal,PA,masculino,branca,281041,Celso Sabino,Celso Sabino De Oliveira
2018,1,PL,eleito por qp,deputado federal,PR,feminino,branca,283227,Christiane Yared,Christiane De Souza Yared
2018,1,DEM,eleito por qp,deputado federal,BA,masculino,branca,287585,Elmar,Elmar José Vieira Nascimento
2018,1,PSL,eleito por media,deputado federal,SC,masculino,branca,293691,Coronel Armando,Luiz Armando Schroeder Reis
2018,1,PSB,eleito por qp,deputado federal,RS,feminino,branca,293740,Liziane Bayer,Liziane Bayer Da Costa
2018,1,PSL,eleito por qp,deputado federal,RS,masculino,branca,294280,Sanderson Federal,Ubiratan Antunes Sanderson
2018,1,PDT,eleito por qp,deputado federal,RO,feminino,preta,294418,Silvia Cristina,Silvia Cristina Amancio Chagas
2018,1,MDB,eleito por media,deputado federal,PI,masculino,branca,296800,Marcos Aurelio Sampaio,Marcos Aurelio Padua Ribeiro Gonçalves De Sampaio
2018,1,SOLIDARIEDADE,eleito por qp,deputado federal,GO,masculino,branca,299231,Lucas Vergílio,Lucas De Castro Santos
2018,1,PP,eleito por media,deputado federal,GO,masculino,branca,303841,Adriano Do Baldy,Adriano Antônio Avelar
2018,1,PSB,eleito por qp,deputado federal,PE,masculino,branca,306090,Danilo Cabral,Danilo Jorge De Barros Cabral
2018,1,PL,eleito por qp,deputado federal,MA,masculino,parda,307201,Josimar Maranhãozinho,Josimar Cunha Rodrigues
2018,1,PL,eleito por qp,deputado federal,AP,masculino,branca,307540,Vinícius,Vinícius De Azevedo Gurgel
2018,1,REPUBLICANOS,eleito por qp,deputado federal,AP,feminino,branca,309617,Aline Gurgel,Aline Paranhos Varonil Gurgel
2018,1,CIDADANIA,eleito por media,deputado federal,SC,feminino,branca,313344,Carmen Zanotto,Carmen Emilia Bonfá Zanotto
2018,1,PSD,eleito por qp,deputado federal,BA,masculino,preta,314116,Antonio Brito,Antonio Luiz Paranhos Ribeiro Leite De Brito
2018,1,PT,eleito por media,deputado federal,SE,masculino,branca,316042,Joao Daniel,Joao Somariva Daniel
2018,1,PSC,eleito por media,deputado federal,SE,masculino,parda,317680,Valdevan Noventa,José Valdevan De Jesus Santos
2018,1,PP,eleito por qp,deputado federal,PB,masculino,branca,319923,Aguinaldo Ribeiro,Aguinaldo Velloso Borges Ribeiro
2018,1,PDT,eleito por qp,deputado federal,ES,masculino,parda,328655,Sergio Vidigal,Antonio Sergio Alves Vidigal
2018,1,PSD,eleito por qp,deputado federal,PR,masculino,branca,340216,Sargento Fahur,Gilson Cardoso Fahur
2018,1,PP,eleito por qp,deputado federal,PE,masculino,branca,340505,Eduardo Da Fonte,Eduardo Henrique Da Fonte De Albuquerque Silva
2018,1,PSL,eleito por qp,deputado federal,PE,masculino,branca,351920,Luciano Bivar,Luciano Caldas Bivar
2018,1,MDB,eleito por qp,deputado federal,MG,masculino,parda,352011,Fabio Ramalho,Fábio Augusto Ramalho Dos Santos
2018,1,PDT,eleito por qp,deputado federal,GO,feminino,branca,355629,Flavia Morais,Flavia Carreiro Albuquerque Morais
2018,1,PMN,eleito por qp,deputado federal,MA,masculino,branca,359318,Eduardo Braide,Eduardo Salim Braide
2018,1,PSL,eleito por qp,deputado federal,AM,masculino,parda,370174,Delegado Pablo,Pablo Oliva Souza
2018,1,PP,eleito por qp,deputado federal,BA,masculino,branca,371840,Ronaldo Carletto,Ronaldo Carletto
2018,1,PC do B,eleito por media,deputado federal,SP,masculino,preta,378233,Orlando Silva,Orlando Silva De Jesus Junior
2018,1,PROS,eleito por qp,deputado federal,CE,masculino,parda,378958,Vaidon Oliveira,Francisco Vaidon Oliveira
2018,1,PSDB,eleito por media,deputado federal,PB,masculino,branca,379153,Ruy Carneiro,Ruy Manuel Carneiro Barbosa De Aça Belchior
2018,1,PSL,eleito por qp,deputado federal,MT,masculino,branca,382027,Nelson Barbudo,Nelson Ned Previdente
2018,1,PMN,eleito por media,deputado federal,MA,masculino,parda,386295,Pastor Gildenemyr,Gildenemir De Lima Sousa
2018,1,MDB,eleito por qp,deputado federal,SE,masculino,branca,386836,Fabio Reis,Fabio De Almeida Reis
2018,1,CIDADANIA,eleito por media,deputado federal,DF,feminino,branca,397616,Paula Belmonte,Paula Moreno Paro Belmonte
2018,1,PDT,eleito por media,deputado federal,AC,masculino,parda,400168,Jesus Sérgio,Jesus Sergio De Menezes
2018,1,REPUBLICANOS,eleito por qp,deputado federal,BA,masculino,preta,406004,Marcio Marinho,Marcio Carlos Marinho
2018,1,PSOL,eleito por media,deputado federal,RJ,masculino,preta,425270,Jean Wyllys,Jean Wyllys De Matos Santos
2018,1,PSB,eleito por qp,deputado federal,MG,masculino,branca,433294,Emidinho Madeira,Emidio Alves Madeira Junior
2018,1,PSC,eleito por qp,deputado federal,GO,masculino,branca,437820,Glaustin Da Fokus,Glauskston Batista Rios
2018,1,REPUBLICANOS,eleito por media,deputado federal,SP,feminino,branca,447054,Maria Rosas,Maria Do Parto Mendes Rosas
2018,1,PT,eleito por qp,deputado federal,SP,masculino,branca,447582,Rui Falcão,Rui Goethe Da Costa Falcão
